province,location,year,latinName,commonName,counts,catched,adult,pulli,not_catched
Antwerpen,Duffel,2016,Anser indicus,Indische gans,0,,,,
Antwerpen,Duffel,2016,Branta canadensis,Canadese gans,0,,,,
Antwerpen,Duffel,2016,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Duffel,2016,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Duffel,2016,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Duffel,2017,Alopochen aegyptiacus,Nijlgans,52,,,,
Antwerpen,Duffel,2017,Anser albifrons,Kolgans,0,,,,
Antwerpen,Duffel,2017,Anser anser,Grauwe gans,2,,,,
Antwerpen,Duffel,2017,Anser anser forma domesticus,Soepgans,6,,,,
Antwerpen,Duffel,2017,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Duffel,2017,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Duffel,2017,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Duffel,2017,Anser indicus,Indische gans,0,,,,
Antwerpen,Duffel,2017,Branta canadensis,Canadese gans,8,,,,
Antwerpen,Duffel,2017,Branta leucopsis,Brandgans,0,,,,
Antwerpen,Duffel,2017,Branta ruficollis,Roodhalsgans,0,,,,
Antwerpen,Duffel,2017,Chloephaga picta,Magelhaengans,0,,,,
Antwerpen,Duffel,2018,Alopochen aegyptiacus,Nijlgans,75,,,,
Antwerpen,Duffel,2018,Anser albifrons,Kolgans,0,,,,
Antwerpen,Duffel,2018,Anser anser,Grauwe gans,0,,,,
Antwerpen,Duffel,2018,Anser anser forma domesticus,Soepgans,4,,,,
Antwerpen,Duffel,2018,Anser brachyrhynchus,Kleine rietgans,0,,,,
Antwerpen,Duffel,2018,Anser cygnoides forma domestica,Zwaangans,0,,,,
Antwerpen,Duffel,2018,Anser erythropus,Dwerggans,0,,,,
Antwerpen,Duffel,2018,Anser indicus,Indische gans,0,,,,
Antwerpen,Duffel,2018,Branta canadensis,Canadese gans,0,,,,
Antwerpen,Duffel,2018,Branta leucopsis,Brandgans,0,,,,
